id,employeename,jobtitle,basepay,overtimepay,otherpay,benefits,year,status,total_compensation,is_executive,job_level
1,Employee_1,SPECIAL NURSE,91127.71,0.0,2479.79,27054.6,2022,PT,93607.5000390625,False,Medium
2,Employee_2,ANIMAL CARE ATTENDANT,54895.61,5505.3,4678.69,21211.19,2022,PT,65079.59994140625,False,Standard
3,Employee_3,HEAD LIBRARIAN,22814.01,0.0,3817.43,6813.61,2023,FT,26631.439931640623,True,Standard
4,Employee_4,SENIOR CLERK,45058.99,2729.4,1394.15,19027.54,2023,FT,49182.54002441406,False,Standard
5,Employee_5,SENIOR CLERK,127962.3,0.0,5097.18,46744.96,2022,FT,133059.48017578124,False,Medium
6,Employee_6,SOCIAL WORKER,61974.9,0.0,1122.11,21669.49,2020,FT,63097.009985351564,False,Standard
7,Employee_7,SPECIAL NURSE,54985.51,0.0,2741.47,20776.14,2021,FT,57726.97997070313,False,Standard
8,Employee_8,ASSISTANT MEDICAL EXAMINER,102853.21,0.0,1066.55,30412.05,2021,FT,103919.76004882813,False,Medium
9,Employee_9,FIREFIGHTER,95303.2,4901.4,3385.27,,2022,FT,103589.87001953124,False,Medium
10,Employee_10,SPECIAL NURSE,70488.97,7979.29,870.53,29366.32,2023,FT,79338.79002929687,False,Medium
11,Employee_11,ASSISTANT DEPUTY CHIEF 2,115437.49,12672.02,6942.65,35592.21,2020,FT,135052.15990234376,True,Medium
12,Employee_12,CHIEF INVESTMENT OFFICER,121244.36,11347.78,8052.09,55388.87,2021,FT,140644.22984375,True,Medium
13,Employee_13,SENIOR ENGINEER,96906.23,6939.9,4621.81,41628.15,2019,FT,108467.94005859374,False,Medium
14,Employee_14,SENIOR ENGINEER,132601.23,0.0,6623.89,54917.74,2022,PT,139225.12013671876,False,Medium
15,Employee_15,SENIOR ENGINEER,101984.15,0.0,2617.64,38833.65,2021,PT,104601.78989257812,False,Medium
16,Employee_16,ANIMAL CARE ATTENDANT,84520.58,10293.42,2264.13,28555.21,2021,FT,97078.1298828125,False,Medium
18,Employee_18,REGISTERED NURSE,46606.48,9639.07,2123.69,15644.38,2020,FT,58369.23994140625,False,Standard
19,Employee_19,RECREATION LEADER,85097.24,8172.26,1405.38,34378.82,2021,FT,94674.88000488281,False,Medium
20,Employee_20,SENIOR CLERK,83341.21,6848.98,2926.41,25425.11,2022,FT,93116.59991210938,False,Medium
21,Employee_21,CHIEF OF POLICE,35420.57,6560.61,5454.78,18026.78,2020,FT,47435.95978515625,True,Standard
22,Employee_22,GENERAL LABORER,27436.61,0.0,8462.59,10270.17,2019,FT,35899.19984375,False,Standard
23,Employee_23,POLICE OFFICER 3,49637.65,4778.69,5842.96,16514.77,2020,PT,60259.299960937504,False,Standard
24,Employee_24,ACCOUNTANT INTERN,80624.46,0.0,5256.57,22383.66,2019,FT,85881.02982421876,False,Medium
25,Employee_25,ANIMAL CARE ATTENDANT,72275.99,0.0,2678.36,,2020,FT,74954.35010742188,False,Standard
26,Employee_26,HEAD LIBRARIAN,110531.0,0.0,528.99,30866.97,2022,FT,111059.98999023438,True,Medium
27,Employee_27,ELECTRICAL TRANSIT SYSTEM MECHANIC,109018.87,0.0,2217.58,31107.29,2019,FT,111236.450078125,False,Medium
28,Employee_28,RECREATION LEADER,44618.21,1544.5,8316.76,15006.61,2022,PT,54479.469765625,False,Standard
29,Employee_29,ASSISTANT DEPUTY CHIEF 2,125012.4,0.0,944.04,37266.64,2020,FT,125956.43997802734,True,Medium
30,Employee_30,SENIOR CLERK,98915.32,0.0,635.13,38942.32,2023,PT,99550.45000488282,False,Medium
31,Employee_31,SENIOR CLERK,71856.9,3595.94,5321.91,26089.7,2022,FT,80774.75015625,False,Medium
32,Employee_32,FIREFIGHTER,70566.53,15445.82,5521.06,26465.21,2020,FT,91533.41005859376,False,Medium
33,Employee_33,SPECIAL NURSE,38001.01,11328.14,543.71,13742.9,2021,FT,49872.86002197266,False,Standard
34,Employee_34,ASSISTANT DEPUTY CHIEF 2,176756.62,788.87,1215.55,45197.09,2019,PT,178761.04004882812,True,High
35,Employee_35,SOCIAL WORKER,56367.71,3490.06,494.28,18392.22,2019,FT,60352.049998779294,False,Standard
36,Employee_36,SPECIAL NURSE,110628.0,0.0,2209.07,30072.12,2023,FT,112837.07006835938,False,Medium
37,Employee_37,SOCIAL WORKER,69350.51,13157.82,5311.06,22310.67,2023,FT,87819.39005859374,False,Medium
38,Employee_38,RECREATION LEADER,90561.07,0.0,412.08,24148.55,2019,FT,90973.14998657227,False,Medium
39,Employee_39,DEPUTY SHERIFF,68933.94,5057.76,5268.99,23602.11,2020,FT,79260.690234375,False,Medium
41,Employee_41,POLICE OFFICER 3,58319.41,3696.66,8978.58,18462.01,2020,FT,70994.650078125,False,Standard
42,Employee_42,SENIOR ENGINEER,94097.22,11827.55,2956.49,38304.55,2020,FT,108881.25999023438,False,Medium
43,Employee_43,ASSISTANT MEDICAL EXAMINER,76359.97,4022.23,1709.24,28164.04,2020,FT,82091.43999023437,False,Medium
44,Employee_44,GENERAL LABORER,54314.83,1630.02,3724.14,22811.37,2021,FT,59668.98989257812,False,Standard
45,Employee_45,SPECIAL NURSE,67499.11,612.96,988.56,19182.2,2019,FT,69100.6299975586,False,Standard
46,Employee_46,CHIEF INVESTMENT OFFICER,104036.44,677.41,3385.82,39903.93,2023,PT,108099.67006835938,True,Medium
47,Employee_47,SENIOR CLERK,150791.27,4412.58,1278.44,59420.99,2022,FT,156482.28994140623,False,High
48,Employee_48,SOCIAL WORKER,68205.38,0.0,1231.12,27529.67,2022,FT,69436.49999511719,False,Standard
49,Employee_49,ASSISTANT MEDICAL EXAMINER,100904.64,12990.52,2776.95,43318.3,2019,FT,116672.10995117188,False,Medium
50,Employee_50,ANIMAL CARE ATTENDANT,66087.55,0.0,1780.89,18227.1,2022,FT,67868.44001464844,False,Standard
52,Employee_52,FIREFIGHTER,43572.72,0.0,956.94,16576.11,2019,FT,44529.66000244141,False,Standard
53,Employee_53,GENERAL LABORER,61058.55,7409.87,2730.79,20067.41,2022,PT,71199.2100390625,False,Standard
54,Employee_54,SENIOR CLERK,96473.9,0.0,2290.99,27138.58,2020,FT,98764.88999023437,False,Medium
55,Employee_55,CHIEF OF POLICE,183096.14,0.0,766.79,71791.51,2022,FT,183862.92997802736,True,High
56,Employee_56,TRANSIT OPERATOR,74439.66,5085.76,1743.41,22215.22,2021,PT,81268.83003417969,False,Medium
57,Employee_57,ASSISTANT DEPUTY CHIEF 2,175813.93,0.0,352.19,64576.42,2023,FT,176166.1200024414,True,High
58,Employee_58,POLICE OFFICER 3,82814.58,8743.25,2032.45,29086.82,2019,PT,93590.27995117188,False,Medium
59,Employee_59,SENIOR ENGINEER,133312.43,9533.49,2174.26,52000.0,2020,FT,145020.1800097656,False,Medium
60,Employee_60,ASSISTANT MEDICAL EXAMINER,68819.16,0.0,700.75,18337.8,2020,FT,69519.91,False,Standard
62,Employee_62,SENIOR ENGINEER,78379.7,1797.11,2784.36,,2020,FT,82961.17010742187,False,Medium
65,Employee_65,ELECTRICAL TRANSIT SYSTEM MECHANIC,116620.49,0.0,1577.89,31488.45,2022,FT,118198.38001464844,False,Medium
66,Employee_66,CUSTODIAN,86388.95,5219.0,1162.3,25923.07,2021,FT,92770.25004882812,False,Medium
67,Employee_67,ACCOUNTANT INTERN,63317.59,4296.57,732.82,17892.3,2023,PT,68346.98000732422,False,Standard
68,Employee_68,GENERAL LABORER,94980.45,0.0,912.82,38071.79,2022,FT,95893.27000732422,False,Medium
69,Employee_69,SPECIAL NURSE,83753.84,0.0,4057.69,,2019,PT,87811.52994140625,False,Medium
70,Employee_70,SENIOR CLERK,142119.31,0.0,58.74,39828.0,2019,FT,142178.05000167846,False,Medium
71,Employee_71,ANIMAL CARE ATTENDANT,39043.34,0.0,296.16,14612.77,2021,FT,39339.500003662106,False,Standard
72,Employee_72,POLICE OFFICER 3,64692.8,0.0,385.28,22672.04,2021,FT,65078.0799987793,False,Standard
73,Employee_73,SENIOR CLERK,78974.44,7271.45,954.83,24707.8,2020,PT,87200.72001708984,False,Medium
74,Employee_74,REGISTERED NURSE,30526.35,2020.88,3253.25,12560.47,2022,PT,35800.479999999996,False,Standard
75,Employee_75,ASSISTANT MEDICAL EXAMINER,91206.54,4530.37,611.18,29850.06,2021,FT,96348.08999267577,False,Medium
76,Employee_76,SENIOR CLERK,83969.69,0.0,4620.01,33249.65,2022,FT,88589.699765625,False,Medium
77,Employee_77,CUSTODIAN,84792.62,6465.83,2590.94,32447.53,2019,FT,93849.38994140625,False,Medium
78,Employee_78,FIREFIGHTER,117195.44,0.0,6681.73,36324.78,2023,FT,123877.16998046875,False,Medium
79,Employee_79,ASSISTANT DEPUTY CHIEF 2,113283.23,0.0,4252.87,39925.66,2020,FT,117536.1001171875,True,Medium
80,Employee_80,ASSISTANT MEDICAL EXAMINER,61576.94,8580.03,3571.89,28014.7,2021,FT,73728.85989257813,False,Standard
81,Employee_81,ACCOUNTANT INTERN,72373.28,0.0,7647.95,24380.26,2021,FT,80021.2301953125,False,Medium
82,Employee_82,SENIOR CLERK,116668.43,1205.74,1708.56,,2023,FT,119582.73005859375,False,Medium
83,Employee_83,POLICE OFFICER 3,58665.74,1876.27,2189.23,19595.67,2020,FT,62731.239980468745,False,Standard
84,Employee_84,RECREATION LEADER,57380.77,10155.59,1965.61,23037.19,2020,FT,69501.96998535156,False,Standard
85,Employee_85,HEAD LIBRARIAN,136715.68,5067.34,6631.36,53437.34,2020,FT,148414.37986328124,True,Medium
